source	ref	human
In patients with increased urine output , a water deprivation test is occasionally used to differentiate among several polyuric states , such as central diabetes insipidus and nephrogenic diabetes insipidus .	If too little antidiuretic hormone is produced ( a condition called central diabetes insipidus ) or if the kidneys are unable to properly respond to it ( nephrogenic diabetes insipidus ) , the person urinates excessively .	2.5
Showering , or immersing the residual limb in cold water for 3 to 5 minutes , and patting it dry immediately before putting the prosthesis on may help .	For the last 2 minutes of the shower , people should hold the residual limb under cold water , and immediately after drying off , they should put the prosthesis on .	2.5
This test is especially useful if adequate sputum samples or blood cultures were not obtained before initiation of antibiotic therapy .	To diagnose the infection , doctors take samples of sputum or fluid taken from the lungs and send them to a laboratory to grow ( culture ) and identify the bacteria .	0.5
Pleural effusions are usually categorized as Transudates ; Exudates .	Pneumonia , cancer , and viral infections are common causes of pleural effusion with an exudative fluid .	0.5
Azithromycin 1 g orally once a week for 1 to 3 weeks is probably effective , but neither it nor clarithromycin has been adequately evaluated .	When an antibiotic is used , a drug such as azithromycin or clarithromycin is most often given .	0.5
Cellulitis is acute bacterial infection of the skin and subcutaneous tissue most often caused by streptococci or staphylococci .	Often , a streptococcal infection in the skin and the tissues just beneath the skin ( cellulitis ) spreads to the lymph vessels .	2.0
Gingko may prevent damage to the kidneys caused by the immunosuppressant cyclosporine .	Ginkgo may prevent damage to the kidneys caused by the drug cyclosporine , which suppresses the immune system .	5.0
It typically manifests after puberty , with the highest rate between age 15 yr and 19 yr ( see obesity in adolescents ) .	It occurs more frequently in boys before puberty and in girls after puberty .	2.0
For treating groups B , C , and G infections , drugs of choice are Penicillin ; Ampicillin ; Vancomycin .	Many antibiotics , including clindamycin , amoxicillin/clavulanate , ampicillin/sulbactam , and imipenem , can be used .	2.0
Standard treatments for dilated cardiomyopathy ( eg , ACE inhibitors , digoxin , beta-blockers ) are poorly tolerated in restrictive disease .	Beta-blockers are poorly tolerated in people with restrictive cardiomyopathy and have not been shown to improve survival .	1.0
Minor hypophosphatemia and hypokalemia due to intracellular shifts and decreased ionized calcium ( Ca++ ) due to an increase in protein binding may be present .	However , in people with severe kidney dysfunction , calcium combines with phosphate , which lowers calcium levels in the blood ( a disorder called hypocalcemia ) .	1.5
Risk factors for drug-induced liver injury ( DILI ) include age ≥ 18 yr , obesity , pregnancy , concomitant alcohol consumption , and certain genetic polymorphisms .	Generally , the risk of liver damage by drugs is thought to be increased by the following : Age 18 years or over ; Obesity ; Pregnancy ; Consumption of alcohol ; A genetic make -up that makes people more susceptible to a drug 's effects .	4.5
Sometimes an indwelling bladder catheter is needed , especially if patients have a history of retention or a large initial output after straight catheterization .	Hospital staff members try to avoid using an indwelling catheter ( a catheter that is left in the bladder for a period of time ) .	2.0
Ideally , upholstered furniture , soft toys , carpets , curtains , and pets should be removed , at least from the bedroom , to reduce dust mites and animal dander .	House dust mites live in the dust that builds up in carpets , bedding , soft furnishings , and soft toys .	2.0
Do color fundus photography and fluorescein angiography and search for an embolic source by doing Doppler ultrasonography and echocardiography .	The diagnosis is made using an ophthalmoscope and doing tests , which may include ultrasonography , fluorescein angiography , and serial photographs .	2.0
Children who do not die of associated liver failure in infancy have a significant risk of developing liver cancer .	Infants who are not treated frequently die of liver failure by 1 year of age .	2.0
A heel lift can be placed in the shoes to take tension off the tendon .	Measures may include wearing shoes with flexible soles or placing heel lifts in running shoes to reduce tension on the tendon and stabilize the heel .	4.0
Loss of consciousness may follow , usually immediately but sometimes not for several hours .	Loss of consciousness may be brief or last a long time .	2.5
Dissociative amnesia is a type of dissociative disorder that involves inability to recall important personal information that would not typically be lost with ordinary forgetting .	Dissociative amnesia is amnesia ( memory loss ) caused by trauma or stress , resulting in an inability to recall important personal information .	4.5
Rarely , cellulitis with suppuration , necrosis , and ulceration develops along the involved lymph channels as a consequence of primary lymphangitis .	Other necrotizing skin infections spread in the outer layers of skin and are termed necrotizing cellulitis .	1.0
The most common causes of monocular diplopia are Cataract ; Corneal shape problems , such as keratoconus or surface irregularity ; Uncorrected refractive error , usually astigmatism .	The most common causes of monocular double vision are Clouding of the lens of the eye ( cataract ) ; Problems with the shape of the cornea ( for example , keratoconus , in which the cornea changes from its normal round shape to a conelike shape ) ; Uncorrected refractive error , usually astigmatism .	3.0
For full effect , injections are initially given once or twice a week .	Injections are usually given once or twice a week until the maintenance dose is reached .	4.0
